year	nationality	number
2015	Slovakia	490
2015	Spain	400
2015	Hungaria	420
2015	United Kingdom	320
2015	Latvia	290
2015	Italia	240
2015	India	270
2015	France	190
2015	China	160
2015	Czech Republic	180
2015	United States of America	130
2015	Greece	100
2015	Netherlands	80
2015	Germany	130
2015	Malaysia	70
2015	Philippines	50
2015	Australia	70
2015	Canada	80
2015	Nigeria	50
2015	Pakistan	50
2015	South Africa	30
2015	New Zealand	40
2015	Unknown/Others	770
2016	Republic of Ireland	3,520
2016	Romania	2,420
2016	Poland	2,030
2016	Bulgaria	1,130
2016	Lithuania	1,100
2016	Portugal	960
2016	Slovakia	360
2016	Spain	350
2016	Hungaria	330
2016	United Kingdom	310
2016	Latvia	280
2016	Italia	270
2016	India	260
2016	France	190
2016	China	140
2016	Czech Republic	140
2016	United States of America	120
2016	Greece	120
2016	Netherlands	110
2016	Germany	110
2016	Malaysia	90
2016	Philippines	70
2016	Australia	60
2016	Canada	60
2016	Nigeria	50
2016	Pakistan	50
2016	South Africa	40
2016	New Zealand	30
2016	Unknown/Others	760
